Restaurant_Info_ID,Restaurant_Name,Rating,Review_Count,Price,Restaurant_Address,Restaurant_City,Zip_Code,Latitude,Longitude,Categories,Inspection_Info_ID,Inspection_date,Score,Grade,Population_Density_per_sq_mi,Median_Household_Income,Median_Home_Value,Employment_Rate,Total_Population,Total_Employer_Establishments
8618,Cabo Cantina,2.7,917,$$,6669 Hollywood Blvd,Los Angeles,90028,34.101936,-118.335593,"Mexican, Sports Bars, Breakfast & Brunch",6564,2024-10-04,95.0,A,21402.0,52814,593900.0,89.52,29887,1728
8625,Solar de Cahuenga,3.4,843,$$,1847 N Cahuenga Blvd,Los Angeles,90028,34.105079,-118.330512,"Breakfast & Brunch, Coffee & Tea, Sandwiches",2845,2024-10-03,92.0,A,21402.0,52814,593900.0,89.52,29887,1728
8629,Joe's Pizza Hollywood,3.4,790,$$,6504 Hollywood Blvd,Los Angeles,90028,34.1013469,-118.3312799,"Pizza, Italian",6872,2024-11-06,92.0,A,21402.0,52814,593900.0,89.52,29887,1728
8636,King Buffet,3.1,748,$$,1375 N Western Ave,Los Angeles,90027,34.0965171,-118.3095055,"Buffets, Chinese, Seafood",6230,2024-10-15,97.0,A,5473.0,78356,793200.0,92.05,44678,1744
8640,Urban Masala,3.8,729,$$,6554 Hollywood Blvd,Los Angeles,90028,34.1014225,-118.3329653,Indian,5907,2024-07-29,90.0,A,21402.0,52814,593900.0,89.52,29887,1728
8643,Hugo's Tacos,3.2,715,$$,3300 Glendale Blvd,Atwater Village,90039,34.118906240085686,-118.25947156980416,"Food Stands, Tacos",5342,2024-07-03,93.0,A,7709.0,99226,600000.0,93.15,28839,1192
8644,Lucifers Pizza,3.5,713,$$,1958 Hillhurst Ave,Los Angeles,90027,34.10701,-118.28717,"Pizza, Gluten-Free",5729,2024-09-30,95.0,A,5473.0,78356,793200.0,92.05,44678,1744
8652,The Griffith Park Summer Spot,0.0,0,$$,4730 Crystal Springs Dr,Los Angeles,90027,34.132822,-118.280158,"Sports Bars, Barbeque, American",7443,2024-06-24,80.0,B,5473.0,78356,793200.0,92.05,44678,1744
8654,Café at the End of the Universe,2.5,78,$$,2800 E Observatory Ave,Los Angeles,90027,34.11835912054953,-118.30083618220516,"New American, Cafes",7447,2025-01-28,90.0,A,5473.0,78356,793200.0,92.05,44678,1744
8654,Café at the End of the Universe,2.5,78,$$,2800 E Observatory Ave,Los Angeles,90027,34.11835912054953,-118.30083618220516,"New American, Cafes",7514,2025-01-28,90.0,A,5473.0,78356,793200.0,92.05,44678,1744
