Zip_Code_ID,Zip_Code,Is_City_Zip,Created_At,Is_Processed
190,90604,0,2025-04-13 14:10:08,1
191,90605,0,2025-04-13 14:10:08,1
192,90606,0,2025-04-13 14:10:08,1
193,90607,0,2025-04-13 14:10:08,1
194,90608,0,2025-04-13 14:10:08,1
195,90609,0,2025-04-13 14:10:08,1
196,90610,0,2025-04-13 14:10:08,1
197,90612,0,2025-04-13 14:10:08,1
198,90637,0,2025-04-13 14:10:08,1
199,90638,0,2025-04-13 14:10:08,1
200,90639,0,2025-04-13 14:10:08,1
201,90640,0,2025-04-13 14:10:08,1
202,90650,0,2025-04-13 14:10:08,1
203,90651,0,2025-04-13 14:10:08,1
204,90652,0,2025-04-13 14:10:08,1
205,90659,0,2025-04-13 14:10:08,1
206,90660,0,2025-04-13 14:10:08,1
